Producto_ID,NombreProducto,product_shortname,cluster
9,Capuccino Moka 750g NES 9,Capuccino Moka 750g,23
41,Bimbollos Ext sAjonjoli 6p 480g BIM 41,Bimbollos Ext sAjonjoli 6p 480g,9
53,Burritos Sincro 170g CU LON 53,Burritos Sincro 170g,29
72,Div Tira Mini Doradita 4p 45g TR 72,Div Tira Mini Doradita 4p 45g,23
73,Pan Multigrano Linaza 540g BIM 73,Pan Multigrano Linaza 540g,1
98,Tostado Integral 180g WON 98,Tostado Integral 180g,4
99,Pan Blanco 567g WON 99,Pan Blanco 567g,16
100,Super Pan Bco Ajonjoli 680g SP WON 100,Super Pan Bco Ajonjoli 680g,1
106,Wonder 100pct mediano 475g WON 106,Wonder 100pct mediano 475g,14
107,Wonder 100pct gde 680g SP WON 107,Wonder 100pct gde 680g,1
108,Baguette Precocida Cong 280g DH 108,Baguette Precocida Cong 280g,5
109,Pan Multicereal 475g WON 109,Pan Multicereal 475g,1
112,Tostado Integral 180g WON 112,Tostado Integral 180g,4
122,Biscotel Receta Original 410g CU SUA 122,Biscotel Receta Original 410g,2
123,Super Bollos 5in 8p 540g WON 123,Super Bollos 5in 8p 540g,17
125,Bollos 8p 450g WON 125,Bollos 8p 450g,17
131,Bollos BK 4in 36p 1635g SL 131,Bollos BK 4in 36p 1635g,17
132,Bollos BK 5in 30p 1730g SL 132,Bollos BK 5in 30p 1730g,17
134,Bollos BK 4in 30p 1635g TIR SL 134,Bollos BK 4in 30p 1635g,17
135,Bollos BK 5in 20p 1730g TIR SL 135,Bollos BK 5in 20p 1730g,17
141,Hot Dogs 8p 290g WON 141,Hot Dogs 8p 290g,20
145,Super Hot Dogs 8p 435g WON 145,Super Hot Dogs 8p 435g,20
151,Medias Noches 24p 470g BK SL 151,Medias Noches 24p 470g,20
157,Bollo WB 5in snAjn 20p 1950g SL 157,Bollo WB 5in snAjn 20p 1950g,17
160,Molido Bolsa 180g WON 160,Molido Bolsa 180g,9
161,Bollos KFC 5in 15p 1237g WON 161,Bollos KFC 5in 15p 1237g,17
162,Molido 25Kg WON 162,Molido 25Kg,9
163,Molido 5Kg WON 163,Molido 5Kg,9
179,Tostado Int 0pct Grasa Azucar 200g WON 179,Tostado Int 0pct Grasa Azucar 200g,4
183,Tortillas Harina 260g 10p WON 183,Tortillas Harina 260g 10p,8
202,Bollos 5in 12p 976g SL 202,Bollos 5in 12p 976g,27
205,Bollos 4in 18p 1000g SL 205,Bollos 4in 18p 1000g,17
214,Bollos Carls Jr 1080g SL 214,Bollos Carls Jr 1080g,17
217,Hot Dog Estilo Sonora 500g BIM 217,Hot Dog Estilo Sonora 500g,20
248,Marias 170g TAB LAR 248,Marias 170g,29
303,Dalmata 1p 55g MLA 303,Dalmata 1p 55g,14
306,Chocotorro Fresa 1p 50g MLA 306,Chocotorro Fresa 1p 50g,10
308,Dalmata 1p 55g MLA 308,Dalmata 1p 55g,14
321,Tuinky Chocolate 2p 76g WON 321,Tuinky Chocolate 2p 76g,13
322,Tuinky Fresas con Crema 2p WON 322,Tuinky Fresas con Crema 2p,10
323,Tuinky Chocolate 3p 114g WON 323,Tuinky Chocolate 3p 114g,13
325,Tuinky Vainilla 3p 114g WON 325,Tuinky Vainilla 3p 114g,11
328,Tuinky Fresas Crema 3p 114g WON 328,Tuinky Fresas Crema 3p 114g,10
357,Panitos Chocolate 30g WON 357,Panitos Chocolate 30g,13
412,Canelitas Inst 30g MLA 412,Canelitas Inst 30g,26
523,Dalmata 1p 55g Tira MLA 523,Dalmata 1p 55g,14
